시설명,시설위도,시설경도,시설기본주소,영업상태구분명,복지관리시설구분코드
수리산성원상떼빌1차,37.39413212,126.9169918,경기도 안양시 만안구 장내로 76,영업,17
플러스빌,37.39241208,126.9103521,경기도 안양시 만안구 장내로 9,영업,17
자라섬닭갈비(커피볶는남자),37.82081461,127.5188828,경기도 가평군 가평읍 가평제방길 63,영업,17
하얏트빌리지,37.83302189,127.5126738,경기도 가평군 가평읍 가화로 152-14,영업,17
산과들빌라(101동),37.83326542,127.512195,경기도 가평군 가평읍 가화로 154-1,영업,17
휴먼시아,37.83471079,127.5121371,경기도 가평군 가평읍 가화로 164,영업,17
휴먼시아,37.83471079,127.5121371,경기도 가평군 가평읍 가화로 164,영업,17
다세대주택,37.67060159,126.7899605,"경기도 고양시 일산동구 애니골길 15-26 (풍동, 골든뷰)",영업,17
다세대주택,37.67060526,126.7894396,"경기도 고양시 일산동구 애니골길 15-27 (풍동, 스카이삼성캐슬)",영업,17
힐링하우스,37.42972167,127.230785,경기도 광주시 용샘길 50-3,영업,17
그린힐스D동,37.42937362,127.2311459,경기도 광주시 용샘길 53,영업,17
탄하우스,37.42644347,127.2413161,경기도 광주시 이배재로 117-19,영업,17
로얄캐슬,37.42661712,127.2408654,경기도 광주시 이배재로 117-32,영업,17
군포시립푸른어린이집  (산본동),37.37197634,126.9370545,경기도 군포시 금산로108번길 15,영업,17
위씽어린이집,37.37234112,126.9373185,경기도 군포시 금산로110번길 24,영업,17
해밀타운,37.36505103,126.9419467,경기도 군포시 금산로22번길 28,영업,17
군포시립금정동어린이집,37.36536166,126.9418446,경기도 군포시 금산로22번길 29,영업,17
쌍용빌라,37.36739387,126.9402874,경기도 군포시 금산로50번길 23,영업,17
호영빌라,37.36749957,126.9404842,경기도 군포시 금산로50번길 27,영업,17
태원쉐르빌,37.3635245,126.9421043,경기도 군포시 금산로6번길 16,영업,17
타임스카이뷰,37.36368433,126.9424499,경기도 군포시 금산로6번길 22,영업,17
태광퍼스트힐아파트,37.36323786,126.9415139,경기도 군포시 금산로6번길 4,영업,17
삼우원룸,37.36436538,126.9431196,경기도 군포시 금산로6번길 41,영업,17
주영리치빌아파트101동,37.3592654,126.9460379,경기도 군포시 금재로 57,영업,17
임선아파트,37.36065629,126.9414339,경기도 군포시 금재로12번길 25,영업,17
우진아트빌,37.3594576,126.9454769,경기도 군포시 금재로35번안길 22,영업,17
한빛빌라,37.36008194,126.9454997,경기도 군포시 금재로53번길 19-1,영업,17
한솔아파트,37.36008557,126.9457523,경기도 군포시 금재로53번길 20,영업,17
주영리치빌아파트102동,37.35935638,126.9457753,경기도 군포시 금재로53번길 6,영업,17
the 드림하우스,37.36704997,126.943265,경기도 군포시 금정로 17,영업,17
금정아트빌23,37.36674076,126.9427515,경기도 군포시 금정로 23,영업,17
효성타운 105동,37.3667048,126.9419969,경기도 군포시 금정로 28-1,영업,17
삼화아파트,37.366269,126.9418721,경기도 군포시 금정로 31,영업,17
금정초등학교,37.36646403,126.941225,경기도 군포시 금정로 40 . 금정초등학교 (금정동),영업,17
금정초등학교병설유치원,37.36646403,126.941225,경기도 군포시 금정로 40 . 금정초등학교 (금정동),영업,17
대흥빌리지1동,37.3674428,126.9424887,경기도 군포시 금정로18번길 11,영업,17
대흥빌리지2동,37.36758934,126.9423705,경기도 군포시 금정로18번길 15,영업,17
거성빌라,37.36772679,126.9422708,경기도 군포시 금정로18번길 17,영업,17
H-HOUSE,37.3679163,126.9425171,경기도 군포시 금정로18번길 18,영업,17
한덕빌라,37.36783018,126.9421825,경기도 군포시 금정로18번길 21,영업,17
드림하우스,37.36716976,126.9427997,경기도 군포시 금정로18번길 3,영업,17
이레하우스,37.36729266,126.9426135,경기도 군포시 금정로18번길 7,영업,17
원광멘션2동,37.36730942,126.9422405,경기도 군포시 금정로24번길 12,영업,17
아성주택,37.36733389,126.9418074,경기도 군포시 금정로24번길 13,영업,17
